73;89;
100;90;89
100;90;89
70;60;
100;90;89
87;85;
47;77;60
83;55;
79;82;
24;35;
70;41;80
73;80;
52;85;
52;83;
80;90;79
89;77;52
73;77;
73;89;
85;89;
70;82;87
17;21;30
30;24;17
30;17;83
100;90;
85;87;
47;82;
82;79;
85;83;
60;47;
89;87;
77;41;
83;70;73
55;52;
79;77;47
77;27;41
80;87;
70;82;
79;73;
80;89;
87;85;
100;90;50
100;89;89
79;80;
79;60;
55;35;
73;55;
83;35;
82;55;
90;85;
80;83;
55;87;35
41;77;
80;79;
77;73;
77;41;
21;17;30
55;60;
70;73;
